2026-05-27 13:01:25 | INFO | Starting MOSI training
2026-05-27 13:04:36 | INFO | Starting MOSI training
2026-05-27 13:25:49 | INFO | Starting MOSI training
2026-05-27 13:26:26 | INFO | Epoch 0: loss=4.9233 | dev_acc2=0.8241 | dev_mae=1.1489 | dev_corr=0.7019
2026-05-27 13:33:22 | INFO | Starting MOSI training
2026-05-27 13:33:55 | INFO | Epoch 0: loss=4.9233 | dev_acc2=0.8241 | dev_acc7=0.2620 | dev_mae=1.1489 | dev_corr=0.7019
2026-05-27 13:34:23 | INFO | Epoch 1: loss=4.3874 | dev_acc2=0.8426 | dev_acc7=0.2664 | dev_mae=1.0878 | dev_corr=0.7442
2026-05-27 13:34:50 | INFO | Epoch 2: loss=4.1077 | dev_acc2=0.8194 | dev_acc7=0.2795 | dev_mae=1.0732 | dev_corr=0.7692
2026-05-27 13:35:17 | INFO | Epoch 3: loss=4.0421 | dev_acc2=0.8380 | dev_acc7=0.2882 | dev_mae=1.0706 | dev_corr=0.7763
2026-05-27 13:35:43 | INFO | Epoch 4: loss=3.9177 | dev_acc2=0.8333 | dev_acc7=0.2969 | dev_mae=1.0414 | dev_corr=0.7770
2026-05-27 13:36:10 | INFO | Epoch 5: loss=3.8173 | dev_acc2=0.8472 | dev_acc7=0.2926 | dev_mae=1.0280 | dev_corr=0.7923
2026-05-27 13:36:37 | INFO | Epoch 6: loss=3.6985 | dev_acc2=0.8380 | dev_acc7=0.3013 | dev_mae=1.0544 | dev_corr=0.7742
2026-05-27 13:37:03 | INFO | Epoch 7: loss=3.6557 | dev_acc2=0.8287 | dev_acc7=0.2882 | dev_mae=1.0491 | dev_corr=0.7742
2026-05-27 13:37:30 | INFO | Epoch 8: loss=3.5655 | dev_acc2=0.8519 | dev_acc7=0.3057 | dev_mae=1.0432 | dev_corr=0.7645
2026-05-27 13:37:57 | INFO | Epoch 9: loss=3.4046 | dev_acc2=0.8426 | dev_acc7=0.2882 | dev_mae=1.0836 | dev_corr=0.7502
2026-05-27 13:38:24 | INFO | Epoch 10: loss=3.3552 | dev_acc2=0.8056 | dev_acc7=0.2838 | dev_mae=1.0685 | dev_corr=0.7452
