"dataset","source","epoch","warmup_total","phase","train_loss","loss_ib","train_fused_or_both_acc","train_mod1_acc","train_mod2_acc","val_acc","val_mod1_acc","val_mod2_acc"
"Food","Food_v5/savepath/dml_food101/training.log","0","5","warmup","7.3388","0.0000","0.5976","0.3113","0.4320","0.82523","NA","NA"
"Food","Food_v5/savepath/dml_food101/training.log","1","5","warmup","3.2337","0.0000","0.9020","0.7974","0.6018","0.90641","NA","NA"
"Food","Food_v5/savepath/dml_food101/training.log","2","5","warmup","2.3931","0.0000","0.9400","0.8287","0.6932","0.91112","NA","NA"
"Food","Food_v5/savepath/dml_food101/training.log","3","5","warmup","1.8620","0.0000","0.9622","0.8389","0.7622","0.91094","NA","NA"
"Food","Food_v5/savepath/dml_food101/training.log","4","5","warmup","1.4818","0.0000","0.9757","0.8524","0.8185","0.90223","NA","NA"
"Food","Food_v5/savepath/dml_food101/training.log","5","5","kl_on","2.0265","0.6834","0.9816","0.8622","0.8700","0.91896","NA","NA"
"Food","Food_v5/savepath/dml_food101/training.log","6","5","kl_on","1.5211","0.4317","0.9881","0.8713","0.9032","0.90971","NA","NA"
"Food","Food_v5/savepath/dml_food101/training.log","7","5","kl_on","1.3162","0.3640","0.9906","0.8792","0.9198","0.91068","NA","NA"
"Food","Food_v5/savepath/dml_food101/training.log","8","5","kl_on","1.1893","0.3214","0.9916","0.8877","0.9276","0.91539","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","0","10","warmup","3.1515","0.0000","0.5562","0.4698","0.5491","0.64162","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","1","10","warmup","2.7169","0.0000","0.6251","0.4828","0.6407","0.63006","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","2","10","warmup","2.6945","0.0000","0.6439","0.4938","0.6595","0.63776","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","3","10","warmup","2.7200","0.0000","0.6628","0.4971","0.6712","0.65125","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","4","10","warmup","1.6520","0.0000","0.8947","0.4977","0.9032","0.64547","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","5","10","warmup","1.0220","0.0000","0.9877","0.5965","0.9955","0.73025","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","6","10","warmup","0.7228","0.0000","0.9942","0.7492","0.9961","0.72640","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","7","10","warmup","0.4479","0.0000","0.9955","0.8551","0.9981","0.76493","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","8","10","warmup","0.2724","0.0000","0.9994","0.9110","0.9948","0.77649","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","9","10","warmup","0.1933","0.0000","0.9981","0.9584","0.9955","0.74759","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","10","10","kl_on","1.1252","0.9807","0.9981","0.9773","0.9896","0.78227","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","11","10","kl_on","0.5317","0.4310","0.9974","0.9838","0.9955","0.79191","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","12","10","kl_on","0.4874","0.3667","0.9974","0.9883","0.9987","0.80154","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","13","10","kl_on","0.4301","0.3241","0.9981","0.9896","0.9948","0.79576","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","14","10","kl_on","0.4462","0.3215","0.9974","0.9909","0.9831","0.80539","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","15","10","kl_on","0.3643","0.2682","0.9968","0.9870","0.9968","0.79383","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","16","10","kl_on","0.3223","0.2372","0.9974","0.9942","0.9929","0.79576","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","17","10","kl_on","0.2555","0.1844","0.9974","0.9961","0.9981","0.80925","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","18","10","kl_on","0.2297","0.1622","0.9981","0.9961","0.9955","0.77071","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","19","10","kl_on","0.2359","0.1459","0.9981","0.9942","0.9961","0.79383","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","20","10","kl_on","0.2709","0.1742","0.9981","0.9929","0.9825","0.81696","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","21","10","kl_on","0.2819","0.1281","0.9948","0.9734","0.9961","0.77071","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","22","10","kl_on","0.1878","0.1171","0.9981","0.9935","0.9987","0.79383","NA","NA"
"MVSA","MVSA_v5/savepath/dml_mvsa/training.log","23","10","kl_on","0.1787","0.1119","0.9981","0.9916","0.9974","0.77842","NA","NA"
"NYUD","RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log","0","20","warmup","6.5520","0.0000","0.3186","0.2819","0.2807","0.4633","NA","NA"
"NYUD","RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log","1","20","warmup","3.8360","0.0000","0.6296","0.6169","0.4956","0.6177","NA","NA"
"NYUD","RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log","2","20","warmup","2.4992","0.0000","0.8003","0.7901","0.6220","0.6544","NA","NA"
