dataset,experiment_name,timestamp,code_version_note,source_file,savedir,note,seed,lr,batch_sz,max_epochs,val_split_ratio,ib_beta,ib_eps_scale,ib_warmup_epochs,best_clean_epoch,best_clean_acc,clean_test,salt_pepper_lvl5,salt_pepper_lvl10,gaussian_lvl5,gaussian_lvl10,param_summary,remark
CREMA-D,dml_cremad_seed0_lr0.01,2026-06-10T04:53:03,v5,CREMAD_v5\savepath\CREMA-D\all_experiments.json,E:/Paper_Experiment/DML/DML_v1/CREMAD_v2/savepath/CREMA-D\dml_cremad_seed0_lr0.01,,0,0.01,16,100,,0.001,1.0,,7.0,0.5639049454078355,0.5639049454078355,0.5639049454078355,0.5645472061657033,0.5639049454078355,0.5639049454078355,seed=0; lr=0.01; batch=16; epochs=100; ib_beta=0.001; ib_eps_scale=1.0; warmup=None,
CREMA-D,dml_cremad_seed0_lr0.01,2026-06-10T17:33:55,v5,CREMAD_v5\savepath\CREMA-D\all_experiments.json,E:/Paper_Experiment/DML/DML_v1/CREMAD_v2/savepath/CREMA-D\dml_cremad_seed0_lr0.01,,0,0.01,16,100,,0.01,1.0,,3.0,0.4161849710982659,0.4161849710982659,0.41811175337186895,0.4193962748876044,0.4155427103403982,0.4168272318561336,seed=0; lr=0.01; batch=16; epochs=100; ib_beta=0.01; ib_eps_scale=1.0; warmup=None,
CREMA-D,dml_cremad_seed0_lr0.005,2026-06-10T19:02:17,v5,CREMAD_v5\savepath\CREMA-D\all_experiments.json,E:/Paper_Experiment/DML/DML_v1/CREMAD_v2/savepath/CREMA-D\dml_cremad_seed0_lr0.005,,0,0.005,16,100,,0.001,0.0,,4.0,0.5362877328195247,0.5362877328195247,0.5401412973667309,0.5414258188824663,0.5362877328195247,0.5362877328195247,seed=0; lr=0.005; batch=16; epochs=100; ib_beta=0.001; ib_eps_scale=0.0; warmup=None,
CREMA-D,dml_cremad_seed0_lr0.005,2026-06-13T13:03:42,warmup_param; CREMAD_v5 run appears saved under CREMAD_v2 path,CREMAD_v2\savepath\CREMA-D\all_experiments.json,E:/Paper_Experiment/DML/DML_v1/CREMAD_v2/savepath/CREMA-D\dml_cremad_seed0_lr0.005,,0,0.005,16,100,,0.001,0.0,30.0,33.0,0.7360308285163777,0.7360308285163777,0.6461143224149004,0.5112395632626846,0.7296082209377007,0.72703917790623,seed=0; lr=0.005; batch=16; epochs=100; ib_beta=0.001; ib_eps_scale=0.0; warmup=30,has ib_warmup_epochs; savedir points to CREMAD_v2 although this is the warmup-param CREMAD run
food101,dml_food101,2026-06-10T04:07:44,v5,Food_v5\savepath\all_experiments.json,e:\Paper_Experiment\DML\DML_v1\Food_v2\savepath\dml_food101,,1,3e-05,8,50,,0.001,1.0,,,0.9304014791336503,0.9304014791336503,0.830207783060398,0.5754094030639197,0.8083729529846804,0.5951311850677936,seed=1; lr=3e-05; batch=8; epochs=50; ib_beta=0.001; ib_eps_scale=1.0; warmup=None,
food101,dml_food101,2026-06-13T10:35:12,v5,Food_v5\savepath\all_experiments.json,e:\Paper_Experiment\DML\DML_v1\Food_v5\savepath\dml_food101,,1,3e-05,8,50,,0.001,1.0,5.0,,0.9189558020778306,0.9189558020778306,0.8486529318541997,0.60468392322592,0.8248811410459588,0.590112695897165,seed=1; lr=3e-05; batch=8; epochs=50; ib_beta=0.001; ib_eps_scale=1.0; warmup=5,has ib_warmup_epochs
mvsa,dml_mvsa,2026-06-05T01:52:35,v5,MVSA_v5\savepath\all_experiments.json,e:\Paper_Experiment\DML\DML_v1\MVSA_v2\savepath\dml_mvsa,,1,3e-05,32,50,,0.001,1.0,,,0.815028901734104,0.815028901734104,0.7495183044315993,0.6088631984585742,0.7302504816955684,0.5645472061657033,seed=1; lr=3e-05; batch=32; epochs=50; ib_beta=0.001; ib_eps_scale=1.0; warmup=None,
mvsa,dml_mvsa,2026-06-09T23:03:15,v5,MVSA_v5\savepath\all_experiments.json,e:\Paper_Experiment\DML\DML_v1\MVSA_v2\savepath\dml_mvsa,,1,3e-05,32,50,,0.001,1.0,,,0.8053949903660886,0.8053949903660886,0.7514450867052023,0.653179190751445,0.7302504816955684,0.5915221579961464,seed=1; lr=3e-05; batch=32; epochs=50; ib_beta=0.001; ib_eps_scale=1.0; warmup=None,
mvsa,dml_mvsa,2026-06-10T09:10:55,v5,MVSA_v5\savepath\all_experiments.json,e:\Paper_Experiment\DML\DML_v1\MVSA_v2\savepath\dml_mvsa,,1,3e-05,32,50,,0.01,1.0,,,0.7726396917148363,0.7726396917148363,0.7398843930635838,0.649325626204239,0.7052023121387283,0.5510597302504817,seed=1; lr=3e-05; batch=32; epochs=50; ib_beta=0.01; ib_eps_scale=1.0; warmup=None,
mvsa,dml_mvsa,2026-06-13T03:59:54,v5,MVSA_v5\savepath\all_experiments.json,e:\Paper_Experiment\DML\DML_v1\MVSA_v5\savepath\dml_mvsa,,1,3e-05,32,50,,0.001,1.0,10.0,,0.8169556840077071,0.8169556840077071,0.74373795761079,0.5664739884393064,0.7379576107899807,0.5741811175337187,seed=1; lr=3e-05; batch=32; epochs=50; ib_beta=0.001; ib_eps_scale=1.0; warmup=10,has ib_warmup_epochs
